Phrase en Anglais;Phrases en français
Cruor is obtainable by various means, felling a Voidwalker being the most common of all.;
As you can never have too much cruor, I urge you to be diligent in its procurement.${prompt};
We've recently perfected a method for improving atmacite potency. The process is called enrichment, and involves fusing cruor on to atmacite to amplify its power.${prompt};
Atmacite can be enriched in stages up to a maximum of level ${number: 0}. The quantity of cruor required varies with the variety of atmacite as well as its current enrichment level.${prompt};
Under normal conditions, atmacite enrichment is an intensive process that demands trained hands.;
For reasons yet to be determined, however, both infusion and enrichment can be safely performed by laymen, provided they're at a planar rift.${prompt};
Keep this in mind should the need arise to reconfigure your atmacite with haste.${prompt};
Examine which stratum abyssite?;
${selection-lines};
None right now.;
${lettercase: 1}${keyitem-singular: 0[2]}.;
${lettercase: 1}${keyitem-singular: 1[2]}.;
${lettercase: 1}${keyitem-singular: 2[2]}.;
${lettercase: 1}${keyitem-singular: 3[2]}.;
${lettercase: 1}${keyitem-singular: 4[2]}.;
${lettercase: 1}${keyitem-singular: 5[2]}.;
${lettercase: 1}${keyitem-singular: 6[2]}.${prompt};
Hmmm... I'm afraid the stone isn't exhibiting any signs of growth.${prompt};
The stone shows signs indicative of growth, but the changes are yet too slight for untrained eyes to discern.${prompt};
Oh my, such a magnificent display of evolution!;
Leaves absolutely nothing to be desired!${prompt};
Why yes, this stone is showing the initial signs of evolution.;
It appears there's still room for growth, however.${prompt};
Hmmm... I fear this stone's growth has been interrupted.;
Were you to find a catalyst of sorts, perhaps it could still evolve further?${prompt};
Hmmm... I'm afraid the stone isn't exhibiting any signs of growth.;
Perhaps a catalyst of sorts could help to spur along the process?${prompt};
How curious. I've not seen a stone like this before.;
Wherever did you find it?${prompt};
Your ${keyitem-singular: 0[2]} has evolved into ${keyitem-article: 1[2]}!${prompt};
Supply me with the ${number: 0} cruor necessary, and I shall gladly teleport you to an operation site of your choosing.${prompt};
Select Voidwatch jurisdiction.;
${selection-lines};


Voidwatch debug menu.;
${selection-lines};
Do nothing.;
Obtain 5,000,000 cruor.;
Obtain necessary items.;
Obtain level one items.${prompt};
You obtain a full set of Voidwatch key items, and may now participate in any and all Voidwatch operations.${prompt};
You now have 5,000,000 cruor!${prompt};
Hello, there. Terrible day, isn't it?;
My name's Wistful Bison, and I made the painful trek here from Adoulin.${prompt};
I'm here on a mission, so I'm not supposed to chat with any old person.;
I can only talk to those with jobs from Anastase. Sorry.${prompt};
Are you an adventurer?;
I see you have ${keyitem-article: 0[2]}. You got that from Anastase, didn't you?${prompt};
If that's the case, I've found where the magnetic field is at its strongest, but...${prompt};
The person in charge tells me I have to keep fishing up subligaria and leggings from the local waters before he'll let me...never mind. You don't want to hear my depressing stories anyway.${prompt};
Let's just get this over with. Do you want to record the activity at this spot?${prompt};
I see. That's how it always is.;
I should really be used to this treatment by now.${prompt};
<Sigh> Sometimes I can barely work up the energy to do even the simplest task.;
Put your ${keyitem-singular: 0[2]} here, I guess.${prompt};
Oh, joy...you succeeded.;
It's now ready to go whenever you are.${prompt};
I've been told to mind this waypoint, so use it as much as you want.;
No one ever takes my feelings into account anyway.${prompt};
As I'm sure is obvious, my burning passion for adventure led me to join this survey of the Middle Lands.;
On my way here, though, I <sigh> got lost in a cave. I always get lost.${prompt};
I was able to get out by remembering to put my right hand on the wall and...ugh, you don't care.${prompt};
Eventually I wandered here. With all the strange artifacts around, this isn't the worst place I could've ended up.${prompt};
What, Anastase wants a report from me?${prompt};
<Mutter> I guess I don't have a choice...;
It'd look bad if you reported in and I didn't.${prompt};
Thanks for giving me more work to do, stranger.${prompt};
Oh, and while we're making unnecessary small talk...${prompt};
Can I ask where in the world we are?${prompt};
Norg...?;
That's not where I wanted to go at all...${prompt};
That's what happens when all you're told is to set a waypoint where the geomagnetic resonance is strong, though.${prompt};
I report to the minister of commerce, so I'm supposed to be gathering information on trade in the area...${prompt};
Thanks for that.;
It doesn't help much, but I'll take what I can get.${prompt};
Have this in return. I hate fish, so I wasn't going to eat it anyway.${prompt};
Well, could a day for greeting visitors be any gloomier?;
What can I do for you?${prompt};
Anastase told you to bring me something?;
Great--not like it will divert my attention from this monotony for long, though.${prompt};
Other than keeping the waypoints in check, there's not much for me to do out here. Just the same tired routine, week after week...${prompt};
Tell him that things are going well, but that I really need a break.${prompt};
A waypoint lies before you in all its mystery.;
You were unable to warp to your desired destination.;
What will you do? (Kinetic Units: ${number: 3});
${selection-lines};
Nothing.;
Read an explanation!;


(${number: 4} unit${choice-plurality: 4}[/s]);
(${number: 4} unit${choice-plurality: 4}[/s]);
(${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ in front of the Peacekeepers' Coalition/ in front of the Scouts' Coalition/ at the Statue of the Goddess/ at the wharf to Yahse Hunting Grounds/ in front of your Rent-a-Room/ in front of the auction house/ on Sverdhried Hillock/ in the Coronal Esplanade/ at the gates of Castle Adoulin]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere, thanks.;
Peacekeepers' Coalition. (${number: 4} unit${choice-plurality: 4}[/s]);
Scouts' Coalition. (${number: 4} unit${choice-plurality: 4}[/s]);
Statue of the Goddess. (${number: 4} unit${choice-plurality: 4}[/s]);
The wharf to Yahse. (${number: 4} unit${choice-plurality: 4}[/s]);
Your Rent-a-Room. (${number: 4} unit${choice-plurality: 4}[/s]);
The auction house. (${number: 4} unit${choice-plurality: 4}[/s]);
Sverdhried Hillock. (${number: 4} unit${choice-plurality: 4}[/s]);
The Coronal Esplanade. (${number: 4} unit${choice-plurality: 4}[/s]);
Castle Adoulin gates. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ in Platea Triumphus (Couriers' Coalition)/ in front of the Pioneers' Coalition/ in front of the Mummers' Coalition/ in front of the Inventors' Coalition/ in front of the auction house/ in front of your Rent-a-Room/ by Big Bridge/ by the airship docks/ on the Adoulin Waterfront]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere, thanks.;
Platea Triumphus (COU Co.). (${number: 4} unit${choice-plurality: 4}[/s]);
Pioneers' Coalition. (${number: 4} unit${choice-plurality: 4}[/s]);
Mummers' Coalition. (${number: 4} unit${choice-plurality: 4}[/s]);
Inventors' Coalition. (${number: 4} unit${choice-plurality: 4}[/s]);
Auction house. (${number: 4} unit${choice-plurality: 4}[/s]);
Your Rent-a-Room. (${number: 4} unit${choice-plurality: 4}[/s]);
Big Bridge. (${number: 4} unit${choice-plurality: 4}[/s]);
Airship docks. (${number: 4} unit${choice-plurality: 4}[/s]);
Adoulin Waterfront. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ at the frontier station/ at Frontier Bivouac #1/ at Frontier Bivouac #2/ at Frontier Bivouac #3]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere.;
Frontier Station. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #1. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #2. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #3. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ at the frontier station/ at Frontier Bivouac #1/ at Frontier Bivouac #2/ at Frontier Bivouac #3]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere.;
Frontier Station. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #1. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #2. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #3. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ at the frontier station/ at Frontier Bivouac #1/ at Frontier Bivouac #2/ at Frontier Bivouac #3/ at Frontier Bivouac #4]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere.;
Frontier Station. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #1. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #2. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #3. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #4. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[/ at the frontier station/ at Frontier Bivouac #1/ at Frontier Bivouac #2/ at Frontier Bivouac #3/ at Frontier Bivouac #4/ at Frontier Bivouac #5]!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere.;
Frontier Station. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #1. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #2. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #3. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #4. (${number: 4} unit${choice-plurality: 4}[/s]);
Frontier Bivouac #5. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to the enigmatic device in ${zone: 0[2]}!${prompt};
Choose a destination. (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere.;
Rala Waterways. (${number: 4} unit${choice-plurality: 4}[/s]);
Cirdas Caverns. (${number: 4} unit${choice-plurality: 4}[/s]);
Yorcia Weald. (${number: 4} unit${choice-plurality: 4}[/s]);
Outer Ra'Kaznar. (${number: 4} unit${choice-plurality: 4}[/s]);
Somewhere. (${number: 4} unit${choice-plurality: 4}[/s])${prompt};
${color-alt: 15}You adjusted the waypoint with your ${keyitem-singular: 0[2]}.${prompt};
You were unable to satisfactorily adjust the waypoint.${prompt};
An enigmatic contrivance hovers in silence...${prompt};
Leaning in closely to the device, one can make out miniscule etchings that read, â€œTrade various crystals to this waypoint to receive kinetic units that may be used when you wish to warp to another locale.â€${prompt};
â€œTravelers may not possess more than ${number: 1} at a given time. Should someone trade an amount of crystals that would result in a surplus of kinetic units, those units will be lost to the aether.â€${prompt};
You have expended ${number: 0} kinetic unit${choice-plurality: 0}[/s] and will be transported to another locale.${prompt};
Your stock of kinetic units is insufficient.${prompt};
You have reached your limit of kinetic units and cannot charge your artifact any further.${prompt};
There is no response.;
You apparently cannot receive kinetic units from this item.${prompt};
Your artifact has been charged with ${number: 0} kinetic unit${choice-plurality: 0}[/s].;
Your current stock of kinetic units totals ${number: 1}.${prompt};
Your artifact has been charged to its terminal volume of kinetic units.${prompt};
A surplus of ${number: 0} kinetic unit${choice-plurality: 0}[/s] has been lost to the aether.${prompt};
${color-alt: 138}Unable to proceed. â€œRise of the Zilartâ€ has not been installed.;
${color-alt: 138}Unable to proceed. â€œChains of Promathiaâ€ has not been installed.;
You will not be asked to confirm your choice of destination. Switching to simple teleporation mode.${prompt};
You will be asked to confirm your choice of destination. Returning to normal teleportation mode.${prompt};
Warp to your destination?;
${selection-lines};
Yes.;
No.${prompt};
Where will you go? (Kinetic Units: ${number: 3});
${selection-lines};
Nowhere, thanks.;
I'd rather read an explanation.;
Ru'Lude Gardens. (${number: 4} unit${choice-plurality: 4}[/s]);
Selbina. (${number: 4} unit${choice-plurality: 4}[/s]);
Mhaura. (${number: 4} unit${choice-plurality: 4}[/s]);
Rabao. (${number: 4} unit${choice-plurality: 4}[/s]);
Norg. (${number: 4} unit${choice-plurality: 4}[/s]);
West Ronfaure. (${number: 5} unit${choice-plurality: 5}[/s]);
North Gustaberg. (${number: 5} unit${choice-plurality: 5}[/s]);
West Sarutabaruta. (${number: 5} unit${choice-plurality: 5}[/s]);
La Theine Plateau. (${number: 5} unit${choice-plurality: 5}[/s]);
Konschtat Highlands. (${number: 5} unit${choice-plurality: 5}[/s]);
Tahrongi Canyon. (${number: 5} unit${choice-plurality: 5}[/s]);
Jugner Forest. (${number: 5} unit${choice-plurality: 5}[/s]);
Pashhow Marshlands. (${number: 5} unit${choice-plurality: 5}[/s]);
Meriphataud Mountains. (${number: 5} unit${choice-plurality: 5}[/s]);
Attohwa Chasm. (${number: 5} unit${choice-plurality: 5}[/s]);
Uleguerand Range. (${number: 5} unit${choice-plurality: 5}[/s]);
Davoi. (${number: 6} unit${choice-plurality: 6}[/s]);
Beadeaux. (${number: 6} unit${choice-plurality: 6}[/s]);
Castle Oztroja. (${number: 6} unit${choice-plurality: 6}[/s]);
Quicksand Caves. (${number: 6} unit${choice-plurality: 6}[/s]);
Sea Serpent Grotto. (${number: 6} unit${choice-plurality: 6}[/s]);
Temple of Uggalepih. (${number: 6} unit${choice-plurality: 6}[/s]);
The Boyahda Tree. (${number: 6} unit${choice-plurality: 6}[/s]);
Oldton Movalpolos. (${number: 6} unit${choice-plurality: 6}[/s]);
Riverne - Site #B01. (${number: 6} unit${choice-plurality: 6}[/s]);
Castle Zvahl Keep. (${number: 6} unit${choice-plurality: 6}[/s]);
Decline destination confirmation.;
Accept destination confirmation.${prompt};
Record this fount?;
${selection-lines};
Yes.;
No.${prompt};
A palpable force wells up slowly from beneath the surface...${prompt};
This geomagnetic fount has already been recorded.${prompt};
You have successfully recorded the phenomenon. Now it is time to report your findings to Anastase.${prompt};
Your records surrounding the current geomagnetic phenomenon had been fading, but your use of the ${keyitem-singular: 0[2]} has restored them to normal!${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[ in Selbina/ in Mhaura/ in Rabao/ in Norg]!${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[ in West Ronfaure/ in North Gustaberg/ in West Sarutabaruta/ in La Theine Plateau/ in the Konschtat Highlands/ in Tahrongi Canyon/ in Jugner Forest/ in the Pashhow Marshlands/ in the Meriphataud Mountains/ in Attohwa Chasm/ in Uleguerand Range]!${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount${choice: 0}[ in Davoi/ in Beadeaux/ in Castle Oztroja/ in the Quicksand Caves/ in Sea Serpent Grotto/ in the Temple of Uggalepih/ in the Boyahda Tree/ in Oldton Movalpolos/ in Riverne - Site #B01/ in Castle Zvahl Keep]!${prompt};
${color-alt: 138}You may now travel to ${choice: 0}[Selbina/Mhaura/Rabao/Norg] via waypoints!;
${color-alt: 138}You may now travel to ${choice: 0}[West Ronfaure/North Gustaberg/West Sarutabaruta/La Theine Plateau/the Konschtat Highlands/Tahrongi Canyon/Jugner Forest/the Pashhow Marshlands/the Meriphataud Mountains/Attohwa Chasm/Uleguerand Range] via waypoints!;
${color-alt: 138}You may now travel to ${choice: 0}[Davoi/Beadeaux/Castle Oztroja/the Quicksand Caves/Sea Serpent Grotto/the Temple of Uggalepih/the Boyahda Tree/Oldton Movalpolos/Riverne - Site #B01/Castle Zvahl Keep] via waypoints!;
It appears that you have arrived at a new survival guide provided by the Adventurers' Mutual Aid Network. Common sense dictates that you should now be able to teleport here from similar tomes throughout the world.${prompt};
Before you lies a survival guide penned by the Adventurers' Mutual Aid Network. It touches on such topics as teleportation and battle records.${prompt};
It appears that you have arrived at a new survival guide provided by the Servicemen's Mutual Aid Network. Common sense dictates that you should now be able to teleport here from similar tomes throughout the world.${prompt};
Before you lies a survival guide penned by the Servicemen's Mutual Aid Network. It touches on such topics as teleportation and battle records.${prompt};
What chapter will you read?;
${selection-lines};
None.;
â€œTeleportation Assistance.â€;
â€œField Support.â€;
â€œOther mysteries.â€${prompt};
The meticulously illuminated text within explains that adventurers may travel to the location of any previous books visited after paying a sum of gil or the requisite amount of tabs.${prompt};
No other survival guide locations have been recorded. Visiting another one would certainly alleviate this issue.${prompt};
Where will you travel?;
${selection-lines};
Nowhere.;
${zone: 1[2]}.;
${zone: 2[2]}.;
${zone: 3[2]}.;
${zone: 4[2]}.;
${zone: 5[2]}.;
${zone: 6[2]}.;
${zone: 7[2]}.;
${zone: 8[2]}.;
${zone: 9[2]}.;
${zone: 10[2]}.;
${zone: 11[2]}.;
${zone: 12[2]}.;
${zone: 13[2]}.;
${zone: 14[2]}.;
${zone: 15[2]}.;
${zone: 16[2]}.;
${zone: 17[2]}.;
${zone: 18[2]}.;
${zone: 19[2]}.;
${zone: 20[2]}.;
Previous page.;
Next page.${prompt};
It will cost ${number: 2} gil to teleport to ${zone: 1[2]}.;
(${number: 3} gil on hand)${prompt};
All mog tablets have currently been found, so you may teleport to ${zone: 1[2]} at no charge.${prompt};
Travel to ${zone: 1[2]}?;
${selection-lines};
${choice: 33}[Add to favorites/Delete from favorites].;
Up and away!;
I'm down and out.${prompt};
${number: 2}ã‚®ãƒ«ã§ç§»å‹•ã™ã‚‹ï¼ˆ${number: 4}ã‚®ãƒ«ï¼‰;
Travel to ${zone: 1[2]}?;
${selection-lines};
${choice: 33}[Add to favorites/Delete from favorites].;
Travel using ${number: 2} gil. (${number: 4} gil);
Travel using ${number: 3} tab${choice-plurality: 3}[/s]. (${number: 5} total);
Not just yet.${prompt};
You do not have enough tabs.${prompt};
The records indicate you have fought valiantly for Vana'diel for ${number: 1} hour${choice-plurality: 1}[/s].${prompt};
At the bottom of the page is a reminder. It perfunctorily states that you may receive ${article} ${item-article: 3[2]} once you have logged a total of ${number: 2} hours.${prompt};
As per the custom noted within, you are eligible to receive ${article} ${item-article: 3[2]} for the ${number: 2} hour${choice-plurality: 2}[/s] of fighting you've accrued.${prompt};
Accept the reward?;
${selection-lines};
Yes, please.;
No, thanks.${prompt};
You may change the way you select areas listed in â€œTeleportation Assistance.â€;
Any changes to make?;
${selection-lines};
Keep course.;
Select by region.;
Select by content.${prompt};
Area selection will now be made by ${choice: 1}[region/content].;
${selection-lines};
Nowhere for now.;
Select from amongst favorites.;
Original release areas.;
Rise of the Zilart areas.;
Chains of Promathia areas.;
Treasures of Aht Urhgan areas.;
Wings of the Goddess areas.;
.;
.;
.;
.;
.;
.;
Seekers of Adoulin areas.${prompt};
Travel to which region?;
${selection-lines};
On second thought, none.;
Select from amongst favorites.;
${choice: 1}[San d'Oria/Movalpolos].;
${choice: 1}[Bastok/Tavnazian Arch].;
${choice: 1}[Windurst/Lumoria].;
${choice: 1}[Jeuno/Mamool Ja Savage].;
${choice: 1}[Tavnazia/Halvung].;
${choice: 1}[West. Aht Urhgan/Arrapago Is].;
${choice: 1}[Adoulin Isles/Ruins of Alzadaal].;
${choice: 1}[Ronfaure/Ronfaure Front].;
${choice: 1}[Zulkheim/Norvallen Front].;
${choice: 1}[Norvallen/Gustaberg Front].;
${choice: 1}[Gustaberg/Derfland Front].;
${choice: 1}[Derfland/Sarutabaruta Front].;
${choice: 1}[Sarutabaruta/Aragoneu Front].;
${choice: 1}[Kolshushu/Fauregandi Front].;
${choice: 1}[Aragoneu/Valdeaunia Front].;
${choice: 1}[Fauregandi/East. Ulbuka].;
${choice: 1}[Valdeaunia/Ra'Kaznar].;
${choice: 1}[Qufim/].;
${choice: 1}[Li'Telor/].;
${choice: 1}[Kuzotz/].;
${choice: 1}[Vollbow/].;
${choice: 1}[Elshimo Low/].;
${choice: 1}[Elshimo Up/].;
${choice: 1}[Tu'Lia/].;
Previous page.;
Next page.${prompt};
Travel to where?;
${selection-lines};
Nowhere.;
${zone: 1[2]}.;
${zone: 2[2]}.;
${zone: 3[2]}.;
${zone: 4[2]}.;
${zone: 5[2]}.;
${zone: 6[2]}.;
${zone: 7[2]}.;
${zone: 8[2]}.;
${zone: 9[2]}.;
${choice: 33}[Add location to favorites/Remove location from favorites].${prompt};
${zone: 1[2]} has been ${choice: 33}[added to your list of favorites/removed from your list of favorites].;
Your list of favorites is full. You must remove an existing entry to add new ones.;
Remove which entry?;
${selection-lines};
None of these.;
${zone: 1[2]}.;
${zone: 2[2]}.;
${zone: 3[2]}.;
${zone: 4[2]}.;
${zone: 5[2]}.;
${zone: 6[2]}.;
${zone: 7[2]}.;
${zone: 8[2]}.;
${zone: 9[2]}.${prompt};
On the prowl fer Gilgamesh, scallywag? Ya'll find him a bit farther in.${prompt};
Go right on in. The boss is waitin' for ya.${prompt};
Didya get bumped about by the waves on yer way here, ${name-player}? No matter. The boss be waitin' inside fer ya.${prompt};
Oho! Would ya look who's decided ta join us!${prompt};
Master!${prompt};
I am both humbled and honored to be able to exchange words with you once more.${prompt};
I have followed your instructions to the letter. Months upon years have I toiled, seeking guidance from both man and the heavens, never once letting my training or dedication falter.${prompt};
All this I have done so that we may meet once more.${prompt};
Unworthy though your disciple Iroha may be, her words and emotions are true.${prompt};
How do you respond?;
${selection-lines};
Who?;
Master?${prompt};
Ya got krill in yer ears, ${choice-player-gender}[boy/girl]? She's callin' you her master!${prompt};
What kind of master runs around fergettin' who their pupils are?${wait-36: 1};
Ya mean to say ya don't remember her at all?${prompt};
What's all this malarkey?${prompt};
Do not get angry at ${choice-player-gender}[him/her]. It is only natural that ${choice-player-gender}[he/she] not remember me.${prompt};
I have wholly lost track of what year this is. 884, correct?${prompt};
This time is many, many years before I came to be, and my presence here is somewhat of an anomaly.${prompt};
Did ya hit yer head 'fore I found ya floating adrift or somethin'?${prompt};
You mean to say...that you haven't been born yet?${prompt};
Then how'd ya get here?${prompt};
I come from an age far in the future, when Vana'diel stands on a precipice--and the master is the only one who can guide me.${prompt};
So you mean to say that ${name-player}...is this master of yours?${prompt};
And from that outfit yer wearing, I'd wager ya were born in the Far East.${prompt};
That is correct. I am the guardian of Reisenjima Sanctorium, and have a strong link with the heavens as its chief priestess.${prompt};
Oho. I know the particulars of the eastern faith are a bit foreign ta the rest of us, but Altana remains a central figure even there.${prompt};
So that'd make ya a religious authority, then?${prompt};
And let me guess. The power of the spirits sent you back ta our time?${prompt};
They set me adrift so that I may prevent the darkness which has engulfed my era.${prompt};
What's this then? You're going to have to be a bit more straightforward.${prompt};
Does this mean that the beastmen end up victorious in the end? Or is it something far more nefarious?${prompt};
Master, do I have your leave to show them our reality?${prompt};
How do you respond?;
${selection-lines};
That's probably best.;
It's better they not know.${prompt};
Ahem! Who do ya think risked life and limb to save your pupil there from becomin' shark chow!?${prompt};
By your will.${prompt};
In the age from whence I hail, Vana'diel is gripped in the vise of fear.${prompt};
In my homeland, we refer to it as â€œEmptiness,â€ a blanket of darkness that infects all it touches.${prompt};
The master is our only light of hope. ${choice-player-gender}[He/She] halted the advance of such a sinister force once, and we are confident that ${choice-player-gender}[he/she] can do it again.${prompt};
The master and ${choice-player-gender}[his/her] comrades strove tirelessly for a brighter future, and their tale is known by all in time.${prompt};
Many months and years passed. I came to be in this world and trained diligently under the master's gentle hand. Yet it was not long before the skies began to cloud...both figuratively and literally.${prompt};
It descended like a thick miasma, stifling the land under a blanket of silence.${prompt};
I looked into the master's eyes and could see the truth. My homeland was not the only victim. Quon, Mindartia, Adoulin...${prompt};
The end times were upon us, and both man and Goddess were powerless to stop it.${prompt};
But then...how did ya survive?${prompt};
The master and my father sacrificed themselves.${prompt};
My mother is from an island known as Reisenjima, the land where the final struggle took place.${prompt};
Vanquishing the Emptiness was but a fantasy. It was all I could do to erect a barrier to halt its advance.${prompt};
A Pyrrhic victory, indeed, as the walls of Reisenjima's sanctorum could do naught but echo back my own solitary cries.${prompt};
I was trapped for several years, when a spirit descended from the heavens to alight on a nearby brazier.${prompt};
She told me that there was only one speck of hope that could save us...${prompt};
The master. I was to find the master and join my light with ${choice-player-gender}[his/hers].${prompt};
The spirits opened a path for me, guiding me back here...to this point in Vana'diel's history.${prompt};
Master, I would like to give you this, lest I forget to do so at a later juncture.${prompt};
From what you told me, there will be many trials posed to you before you finally set foot in the land you know today as the Far East.${prompt};
Keep this by your side and the path will remain open to you, always.${prompt};
Follow its guidance and it will lead you unfailingly to my time. However...${prompt};
Now jus' hang on a minute. If we jus' follow it without doin' anythin' else, we'll just end up at yer apocalyptic future where yer the only one left alive, right?${prompt};
...That is correct. However, the master surely has the capacity to experience both futures...one with the Emptiness, and one without.${prompt};
Please...find a way to...to...${prompt};
I cannot...stay...long...${prompt};
What in blazes--!?${prompt};
${name-player}, I can't make heads or tails of the whole thing. Think she's tellin' the truth?${prompt};
This warrants further study. I'll see if my agents can pick up on anything.${prompt};
<Sigh> I've ne'er been too good at dealin' with complex twists and turns.${prompt};
Gimme some time ta collect me thoughts.${prompt};
Maybe there is somethin' ta that tale Iroha spun. There've been more an' more oddities happenin' of late.${prompt};
All manner of ne'er-before-seen beasts...people gettin' lost in places that look familiar but are somehow a bit off...and so much more that I could mention.${prompt};
At first I figured the beastmen were behind it all, but now I'm not so sure.${prompt};
We gotta take stock of the situation and dig up any common threads.${prompt};
Ideally, you'd be wantin' to talk to my daughter, Lion.${prompt};
A bit of a tomboy, that one, but there're none in the Middle Lands as could match her clue-gathering skills.${prompt};
There's just the small question of where she ran off ta this time.${prompt};
She bolted out of here a couple of days ago, asserting that the best way to ascertain the Beastman Confederate's plans was to put out feelers amongst allies in the three nations.${prompt};
It stands to reason, then, that she's either in Bastok, San d'Oria, or Windurst.${prompt};
Then ya might run across her durin' the course of some beastmen-related missions.${prompt};
Head back to yer home nation and follow up on that threat first.${prompt};
Normally I'd entrust this to me daughter, Lion...${prompt};
She was a bit of a tomboy, and there was none better than her at findin' stuff out.${prompt};
But now she's...she's...;
Well, maybe ya can find somethin' we can't.${prompt};
Hey, turn that thing off!${prompt};
...Holla...Dem...Mea...;
Seek...the crystal...${prompt};
What was that light all about?${prompt};
A voice, ya say? I didn't hear a blasted thing.${prompt};
But hey, if ya say so, then ya probably did. Hopefully it gave ya something to go on--which is a darn sight better than anything I can do.${prompt};
At least, Lion has a keen eye for these things.${prompt};
She's slowly regainin' her strength, but it's still not uncommon for her to spend the whole mornin' in bed either...${prompt};
Wh-what's goin' on?${prompt};
...Holla...Dem...Mea...;
Seek...the crystals...${prompt};
What was that light all about?${prompt};
Ya made it back!${prompt};
Iroha's been pacin' back an' forth all day.${prompt};
Master, tales of your victory against the Shadow Lord has reached our ears!${prompt};
History is one battle closer to being set on the proper course.${prompt};
...and also brings us closer ta oblivion.${prompt};
But we first may bring history to the point where the master is able to face the future.${prompt};
Suppose so.${prompt};
Upon my return, I spent hours turning over the master's words in my mind, and something came to gnaw at me.${prompt};
I cannot shake the feeling it is related to what Lady Lion prophesized in Escha about the master's role in the coming battle against the darkness.${prompt};
Somethin' 'bout yer orb needin' ta gain light?${prompt};
Correct. We must create a world in which the master is able to fight.${prompt};
An' what 'bout that bothers ya?${prompt};
Think back upon your struggle with the Shadow Lord.${prompt};
When we first met, many years from now, the master mentioned something that happened that day.${prompt};
â€œI felt the crystal resonate within.â€${prompt};
Please, try to think back.${prompt};
Warrior of the Crystal--one who will become known as a Warrior of Light...${prompt};
You ${choice: 1}[have traveled/will travel] across land, sea, and sky, bathed in the light and stopping darkness wherever it threatens the living.${prompt};
And you will continue to banish the doubt that resides within you.${prompt};
Banish the doubt that lies within and let radiance fill your soul.${prompt};
Such travels take their toll on lesser mortals, who retire to their homes and live out their lives in comfort.${prompt};
But although you may stop briefly to gather your wits, each time you do so it is only to steel your resolve for the next struggle.${prompt};
You have the will to shelter the downtrodden, vex the darkness, and protect all that Altana holds dear.${prompt};
The time is right for you to become more than a mere warrior.${prompt};
You will become greater...${wait-36: 1};
For that is what is required of you.${prompt};
Has it come back to you, Master?${prompt};
You recalled with reverence those words, saying they gave you the strength of spirit to carry on no matter the odds.${prompt};
Though your journeys were arduous and fraught with peril, the twinkle in your eyes as you recounted your tales gave me courage.${prompt};
The reason you were able to lead us in the final struggle was precisely because of those many barriers you had overcome.${prompt};
